ion_analog,voltage_ion,pressure_ion,conv_analog,voltage_conv,pressure_conv,source_file,tags,tag_list,tag_IG_on,tag_IG_off,tag_IG_fail,tag_IG_turn_on,tag_IG_slow_on,tag_CG_on,IG_state,CG_state
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,195.0,0.9635631,0.001055559,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,192.0,0.948739,0.0009825438,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,194.0,0.9586217,0.001030636,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
441.0,2.179135,2.281761e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
440.0,2.174194,2.230425e-07,193.0,0.9536804,0.001006303,arduino_data_log20250702_154929.csv,,[],0,0,0,0,0,0,IG unknown,CG unknown
